PRODUCTCATEGORIES
PROD_CAT_ID;LANGUAGE_ID;PROD_CAT_NAME;PROD_CAT_HIDDEN;PROD_CAT_SORT;PROD_CAT_LINK;PROD_CAT_DESCRIPTION;PROD_CAT_ICON;SUBCAT_SYMBOL;PROD_CAT_IMAGE;META_KEYWORDS;META_DESCRIPTION;TITLE;INTERNAL_ID;DIRECT_LINK;PROD_CAT_UNIQUE_URL_NAME;PARENT_CAT_ID
"1";"26";"Tuxedo";"False";"1";"images/Tuxedo.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"";"";"";"";"";"3";"http://ksm-shop.dk/shop/tuxedo-3s1.html";"";"0"
"2";"26";"KSM-Multistoker";"False";"2";"images/KSM-Mulistoker.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"";"";"";"";"";"4";"http://ksm-shop.dk/shop/ksm-multistoker-4s1.html";"";"0"
"4";"26";"KSM-Multistoker XXL";"False";"4";"images/KSM-Mulistoker_XXL.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"";"";"";"";"";"5";"http://ksm-shop.dk/shop/ksm-multistoker-xxl-5s1.html";"";"0"
"3";"26";"KSM-Multistoker XL";"False";"3";"images/KSM-Mulistoker_XL.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"";"";"";"";"";"6";"http://ksm-shop.dk/shop/ksm-multistoker-xl-6s1.html";"";"0"
"5";"26";"Flissiloer";"False";"5";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"8";"http://ksm-shop.dk/shop/flissiloer-8s1.html";"";"0"
"12";"26";"Tuxido 20";"False";"2";"images/Tuxedo20All.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"11";"http://ksm-shop.dk/shop/tuxido-20-11s1.html";"";"1"
"13";"26";"Tuxido 30";"False";"3";"images/Tuxedo30All.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"12";"http://ksm-shop.dk/shop/tuxido-30-12s1.html";"";"1"
"14";"26";"Tuxido 50";"False";"4";"images/Tuxedo50All.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"13";"http://ksm-shop.dk/shop/tuxido-50-13s1.html";"";"1"
"15";"26";"Tuxido 75";"False";"5";"images/Tuxedo75All.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"14";"http://ksm-shop.dk/shop/tuxido-75-14s1.html";"";"1"
"16";"26";"Tuxido 100";"False";"6";"images/Tuxedo100All.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"15";"http://ksm-shop.dk/shop/tuxido-100-15s1.html";"";"1"
"17";"26";"Tuxido 125";"False";"7";"images/Tuxedo100All.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"16";"http://ksm-shop.dk/shop/tuxido-125-16s1.html";"";"1"
"21";"26";"KSM-Multistoker 175-13";"False";"1";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"17";"http://ksm-shop.dk/shop/ksm-multistoker-175-13-17s1.html";"";"2"
"22";"26";"KSM-Multistoker 275-18";"False";"2";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"18";"http://ksm-shop.dk/shop/ksm-multistoker-275-18-18s1.html";"";"2"
"23";"26";"KSM-Multistoker 375";"False";"3";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"19";"http://ksm-shop.dk/shop/ksm-multistoker-375-19c1.html";"";"2"
"24";"26";"KSM-Multistoker 575-50";"False";"4";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"20";"http://ksm-shop.dk/shop/ksm-multistoker-575-50-20c1.html";"";"2"
"25";"26";"KSM-Multistoker 775-75";"False";"5";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"21";"http://ksm-shop.dk/shop/ksm-multistoker-775-75-21c1.html";"";"2"
"26";"26";"KSM-Multistoker 975-95";"False";"6";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"22";"http://ksm-shop.dk/shop/ksm-multistoker-975-95-22c1.html";"";"2"
"27";"26";"KSM-Multistoker 1275-125";"False";"7";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"23";"http://ksm-shop.dk/shop/ksm-multistoker-1275-125-23c1.html";"";"2"
"31";"26";"KSM-Multistoker 145XL";"False";"1";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"24";"http://ksm-shop.dk/shop/ksm-multistoker-145xl-24c1.html";"";"3"
"32";"26";"KSM-Multistoker 190XL";"False";"2";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"25";"http://ksm-shop.dk/shop/ksm-multistoker-190xl-25c1.html";"";"3"
"33";"26";"KSM-Multistoker 199XL";"False";"3";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"26";"http://ksm-shop.dk/shop/ksm-multistoker-199xl-26c1.html";"";"3"
"34";"26";"KSM-Multistoker 240XL";"False";"4";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"27";"http://ksm-shop.dk/shop/ksm-multistoker-240xl-27c1.html";"";"3"
"35";"26";"KSM-Multistoker 290XL";"False";"5";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"28";"http://ksm-shop.dk/shop/ksm-multistoker-290xl-28c1.html";"";"3"
"36";"26";"KSM-Multistoker 360XL";"False";"6";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"29";"http://ksm-shop.dk/shop/ksm-multistoker-360xl-29c1.html";"";"3"
"41";"26";"KSM-Multistoker 199XXL";"False";"1";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"30";"http://ksm-shop.dk/shop/ksm-multistoker-199xxl-30c1.html";"";"4"
"42";"26";"KSM-Multistoker 300XXL";"False";"2";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"31";"http://ksm-shop.dk/shop/ksm-multistoker-300xxl-31c1.html";"";"4"
"43";"26";"KSM-Multistoker 400XXL";"False";"3";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"32";"http://ksm-shop.dk/shop/ksm-multistoker-400xxl-32c1.html";"";"4"
"44";"26";"KSM-Multistoker 500XXL";"False";"4";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"33";"http://ksm-shop.dk/shop/ksm-multistoker-500xxl-33c1.html";"";"4"
"45";"26";"KSM-Multistoker 750XXL";"False";"5";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"34";"http://ksm-shop.dk/shop/ksm-multistoker-750xxl-34c1.html";"";"4"
"46";"26";"KSM-Multistoker 1000XXL";"False";"6";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"35";"http://ksm-shop.dk/shop/ksm-multistoker-1000xxl-35c1.html";"";"4"
"51";"26";"500 l. silo ";"False";"1";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"36";"http://ksm-shop.dk/shop/500-l-silo-36c1.html";"";"5"
"52";"26";"1m3 Flissilo";"False";"2";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"37";"http://ksm-shop.dk/shop/1m3-flissilo-37c1.html";"";"5"
"53";"26";"2m3 Flissilo";"False";"3";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"38";"http://ksm-shop.dk/shop/2m3-flissilo-38c1.html";"";"5"
"54";"26";"4m3 Flissilo";"False";"4";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"39";"http://ksm-shop.dk/shop/4m3-flissilo-39c1.html";"";"5"
"55";"26";"6m3 Flissilo";"False";"5";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"40";"http://ksm-shop.dk/shop/6m3-flissilo-40c1.html";"";"5"
"6";"26";"Cirkeludmader";"False";"6";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"42";"http://ksm-shop.dk/shop/cirkeludmader-42s1.html";"";"0"
"61";"26";"150mm kanal";"False";"1";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"43";"http://ksm-shop.dk/shop/150mm-kanal-43c1.html";"";"6"
"62";"26";"200mm kanal";"False";"2";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"44";"http://ksm-shop.dk/shop/200mm-kanal-44c1.html";"";"6"
"63";"26";"250mm kanal";"False";"3";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"45";"http://ksm-shop.dk/shop/250mm-kanal-45c1.html";"";"6"
"64";"26";"300mm kanal";"False";"4";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"46";"http://ksm-shop.dk/shop/300mm-kanal-46c1.html";"";"6"
"7";"26";"Reservedelsoversigt";"False";"7";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"47";"http://ksm-shop.dk/shop/reservedelsoversigt-47s1.html";"";"0"
"71";"26";"El-motor";"False";"1";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"48";"http://ksm-shop.dk/shop/el-motor-48c1.html";"";"7"
"72";"26";"Gear";"False";"2";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"49";"http://ksm-shop.dk/shop/gear-49c1.html";"";"7"
"73";"26";"Ildfaste sten";"False";"3";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"50";"http://ksm-shop.dk/shop/ildfaste-sten-50c1.html";"";"7"
"74";"26";"Standard el-dele";"False";"4";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"51";"http://ksm-shop.dk/shop/standard-el-dele-51c1.html";"";"7"
"75";"26";"Styringsdele PCT300 og ældre";"False";"5";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"52";"http://ksm-shop.dk/shop/styringsdele-pct300-og-52c1.html";"";"7"
"76";"26";"Styringsdele PCT400";"False";"6";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"53";"http://ksm-shop.dk/shop/styringsdele-pct400-53c1.html";"";"7"
"77";"26";"Cellesluse";"False";"7";"";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"54";"http://ksm-shop.dk/shop/cellesluse-54c1.html";"";"7"
"11";"26";"Tuxedo 10";"False";"1";"images/Tuxedo10All.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"60";"http://ksm-shop.dk/shop/tuxedo-10-60s1.html";"";"1"
"111";"26";"Tuxedo 10 Standard";"False";"1";"images/Tuxedo10-std.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"61";"http://ksm-shop.dk/shop/tuxedo-10-standard-61s1.html";"";"11"
"112";"26";"Tuxedo 10 Auto";"False";"2";"images/Tuxedo10-auto.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"62";"http://ksm-shop.dk/shop/tuxedo-10-auto-62s1.html";"";"11"
"113";"26";"Tuxedo 10 F-Auto";"False";"3";"images/Tuxedo10-f_auto.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"63";"http://ksm-shop.dk/shop/tuxedo-10-f-auto-63s1.html";"";"11"
"114";"26";"Tuxedo 10 FX";"False";"4";"images/Tuxedo10-fx.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"64";"http://ksm-shop.dk/shop/tuxedo-10-fx-64s1.html";"";"11"
"121";"26";"Tuxedo 20 Standard";"False";"1";"images/Tuxedo20-std.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"65";"http://ksm-shop.dk/shop/tuxedo-20-standard-65s1.html";"";"12"
"122";"26";"Tuxedo 20 Auto";"False";"2";"images/Tuxedo20-auto.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"66";"http://ksm-shop.dk/shop/tuxedo-20-auto-66s1.html";"";"12"
"123";"26";"Tuxedo 20 F-Auto";"False";"3";"images/Tuxedo20-f_auto.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"67";"http://ksm-shop.dk/shop/tuxedo-20-f-auto-67s1.html";"";"12"
"124";"26";"Tuxedo 20 FX";"False";"4";"images/Tuxedo20-fx.html?hideinterface=1";"<html>
<head>
	<title></title>
</head>
<body></body>
</html>
";"";"-";"";"";"";"";"68";"http://ksm-shop.dk/shop/tuxedo-20-fx-68s1.html";"";"12"
